content,score,at
terbaik,5,2025-06-12 12:30:50
sangat sangat tidak cocok untuk orang miskin dan tidak punya hati nurani sama sekali dan astagfirullah emang Lo tes mental gratis lewat web tapi ahli psikologi nya mahal banget astagfirullah gak tahu ngomong apa lagi,1,2025-06-12 11:07:46
"hallo doc memang sangat membantu, konsultasi dokter tanpa ribet, dokternya ramah barusan Konsul dengan dokter kulit dr ivon setiawan sangat ramah rekomendasi bgt buat yg mau Konsul soal keluhan kulit",5,2025-06-12 11:04:57
sangat membantu,5,2025-06-12 10:21:40
oke,5,2025-06-12 09:13:03
Dokternya ramah dan merespon baik semua yg saya utarakan. terimakasih dokter 🙏,5,2025-06-12 07:53:28
sangat membantu dikala mendesak,5,2025-06-12 07:30:35
membantu buat konsul dokter jarak jauh..,5,2025-06-12 06:18:13
"Halodoc mudah di akses, pelayanan online oke banget, memiliki dokter yg kompeten juga. review dokter membantu jadi pertimbangan. sukses untuk Halodoc",5,2025-06-12 05:59:38
sangat membantu 👍,5,2025-06-12 05:38:10
"pak kerjasama apotik yang 24 jam , udah ongkir dan biaya lain lain mahak dana di tahan sampai apotik buka kita urgent butuh obat",5,2025-06-11 23:52:46
"Sangat membantu terutama saat tidak bisa pergi ke RS, pelayanan cepat, bahkan pengiriman obat pun cepat.",5,2025-06-11 23:41:03
aplikasi yang sangat membantuu... terima kasih dr. Asri Isnaini,5,2025-06-11 13:57:51
"aplikasi Halodok bagus, mudah dimengerti, terima kasih halodoc.",5,2025-06-11 13:53:01
sangat memudahkan kita untuk konsultasi dengan dokter pilihan.,5,2025-06-11 13:12:24
dokternya sangat baik dan membantu pasien. penjelasannya sangat jelas dan mudah dimengerti. pengiriman obat juga sangat cepat.,5,2025-06-11 12:59:09
halo doc terbaik,5,2025-06-11 12:44:35
ngebantu banget,5,2025-06-11 11:20:44
sangat membantu,5,2025-06-11 09:50:40
Dokternya detail penjelasannya mudah dimengerti,5,2025-06-11 09:03:45
top,5,2025-06-11 07:32:24
sangat bisa d mengerti dgn penjelasan dokter halodoc terimakasih banyak🙏🏻,5,2025-06-11 05:34:48
Sangat Membantu,5,2025-06-11 03:55:55
sangat informatif,5,2025-06-11 02:58:36
terima kasih halodoc,5,2025-06-10 23:10:57
sangat memuaskan dokternya ramah cepat tanggap dan langsung memberikan solusi puass bangett,5,2025-06-10 22:53:05
pesan sp troches sampai 4 hari tidak dikirim. mengecewakan.,1,2025-06-10 20:19:15
apk serba byar dok ny bnyk yg gaje lgi😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,1,2025-06-10 15:54:50
"cepet,keren",5,2025-06-10 14:35:07
sedikit lega sudah menceritakan,5,2025-06-10 12:39:08
"keren euuuyy,,,ngk perlu repot ngantri smw terselesaikan",5,2025-06-10 12:32:34
"terimakasih, cukup membantu ketika sakit🙏",5,2025-06-10 12:23:51
sangat membantu,5,2025-06-10 12:16:45
oke fast respon dokternya,5,2025-06-10 11:12:53
keren..bagus praktis,5,2025-06-10 10:44:22
top. cepet respon,5,2025-06-10 10:16:59
membantuuu,5,2025-06-10 10:01:04
selalu the best dong,5,2025-06-10 09:24:31
membantu sekali,5,2025-06-10 09:22:17
Sangat membantu,5,2025-06-10 09:05:53
Dokter ramah sekali dan baik,5,2025-06-10 07:56:38
pelayanan bagus dan ramah,5,2025-06-10 07:15:51
fast respon,5,2025-06-10 03:42:22
sangat membantu,5,2025-06-10 01:07:38
mantappp,5,2025-06-09 23:28:13
good,5,2025-06-09 15:48:21
Sangat membantu,5,2025-06-09 14:52:26
"awal pertama pesan obat memang oke, tp pembelian ke 2 pesanan saya dibatalkan tetapi sdh 1 bulan sejak pesanan dibatalkan tidak ada pengembalian dana masuk di mbanking saya padahal distatus pengembalian dana selesai tetapi saya tidak menerima",1,2025-06-09 14:46:34
"ini seriusan setaip mau chat dokter harus bayar padhl udah bayar 1 dokter trus harus bayar dokter"" lain lagi beda banget sama aplikasi yg satu nya bayar 1x bisa bebas chat dokter manapun untuk selanjutnya gak rekomendasi banget👊👊👊",1,2025-06-09 11:13:01
mantab degh,5,2025-06-09 06:34:23
"Halodoc sangat² membantu ketika butuh obat, vitamin tp sedang tidak bisa datang langsung ke RS atau apotik, Dan untuk dokternya ramah² cepet responnya, terimakasih halodoc.",5,2025-06-09 04:24:21
Fast Respon,5,2025-06-09 02:34:50
enak aplikasi sdh di perbaiki. konsultasi mudah dan dapat dilakukan dimana saja,5,2025-06-09 01:41:13
selalu membantu saat darurat,5,2025-06-08 17:49:53
sangat membantu,5,2025-06-08 16:02:58
"wahh, makin mahal aja konsultasinya.. dibatasi lagi 🤣 yaudah lah ya",1,2025-06-08 14:07:52
pelayanan nya bgus,5,2025-06-08 11:17:27
Cepat dan mudah,5,2025-06-08 10:39:35
sip mantap is the best,5,2025-06-08 10:16:47
"ramah dan sangat teliti,, trimakasih sangat bermanfaat",5,2025-06-08 09:15:24
sangat membantu,5,2025-06-08 08:34:15
aplikasi yg sangat membantu,5,2025-06-08 06:19:51
sangat mempermudah,5,2025-06-08 05:51:34
"Bagus banget, Dokternya membantu sekali",5,2025-06-08 03:31:22
enak dokternya paham yang kita keluhkan meskipun lewat online.baru pertama kali konsultasi lewat halodoc ternyata puas.g perlu ke RS yg hrs nunggu jdwl dokter dan antrian administrasi.terimakasih halodoc semoga obatnya cocok dengan dokter Hana ini,5,2025-06-07 23:31:50
oke bangettt,5,2025-06-07 23:07:20
"bagus sekali memudahkan kt untuk konsultasi dgn dokter, terimakasih halodoc",5,2025-06-07 22:48:33
recommended,5,2025-06-07 15:37:58
baguss untuk yg mau bertanya tanya kepada dokter,5,2025-06-07 15:10:58
membantu sekali,5,2025-06-07 14:53:02
sangat membantu disaat jam konsultasi ke dokter secara offline sudah tutup..,5,2025-06-07 13:50:13
Sangat membantu,5,2025-06-07 12:43:10
the best bisa diakses seluruh kota di indonesia. terimakasih halodoc!,5,2025-06-07 12:10:04
ahli,5,2025-06-07 11:42:32
Sangat membantu,5,2025-06-07 11:15:59
baik,5,2025-06-07 11:07:27
"saya berharap layanan aplikasi ini dapat membantu TKI yang di Malaysia juga. sebab dalam pendaftaran akun baru tiada pilihan untuk nomor Malaysia (+60), jadi saya juga kesulitan untuk itu. Sebagai TKi tentu menggunakan produk dalam negeri di manapun dan kapanpun akan sangat membantu kami. Terlebih yang bisa dijamin keamanannya oleh negara.",3,2025-06-07 09:41:16
"halodoc ngebantu bgt buat saya yg jadwal pdt, tanpa harus antri ke rs",5,2025-06-07 09:35:44
Dokter Baik,5,2025-06-07 07:24:59
apakah ber bayar,1,2025-06-07 05:08:43
bagus,5,2025-06-07 04:34:52
sangat membantu,5,2025-06-07 04:32:07
sangat puas,5,2025-06-07 03:03:50
the best sih. semoga harganya tetap stabil gak seperti app sebelah,5,2025-06-07 00:53:21
sangat membantu penderita sakit yg jauh dr keluarga/kerabat,5,2025-06-06 23:57:03
cepet di tanggapi..,5,2025-06-06 21:35:51
sangat membantu,5,2025-06-06 19:50:40
respon cepat,5,2025-06-06 16:02:27
layanan baik,5,2025-06-06 15:44:26
sangat membantu trimakasih halodoc,5,2025-06-06 13:38:29
"dokter ramah garcep lagi balas pertanyaan, semoga cocok dengan obatnya 😊😊😊",5,2025-06-06 13:31:34
"saran dan masukan ajha. kalau bisah,ketika ada yg pesan obat kesehatan di aplikasi ini,pengrimannya,tlng di percepat,karena ini,menyangkut masalah kesehatan pasien.klu kita nggk sakit,nggk mungkin kita pesan obat secara online di aplikasi ini.bukan di permuda,malah ribet dan lama nunggunya.mksh.semogah kedepannya,lebih di permudah dan di percepat pengirimannya.",1,2025-06-06 13:09:56
aplikasi sangat membantu.. berobat tidak perlu keluar rumah,5,2025-06-06 13:02:35
sangat membantu,5,2025-06-06 12:30:34
pilihan dokter sangat lengkap dan bisa dipilih. cepat tidak ribet. diagnosa tepat dan tidak melesat. alhamdulilah,5,2025-06-06 10:37:04
cepat n akurat,5,2025-06-06 08:25:47
membantu bangettt,5,2025-06-06 07:17:57
makasih,5,2025-06-06 05:22:34
"untuk area Sukabumi, mohon ditambahkan apotek yang di daerah kota Sukabumi agar lebih dekat sehingga saat obat dibutuhkan bisa cepat diterima. Saat ini, pengiriman selalu dari daerah Cibadak kab Sukabumi dan sangat jauh dari lokasi kota Sukabumi.",4,2025-06-06 04:09:42
benar-benar membantu,5,2025-06-06 03:09:48
"responsif, dan sangat jelas penjelasanya",5,2025-06-05 21:23:28
alhamdulillah sangat membantu,5,2025-06-05 17:58:11
bagus pelayanan nya,5,2025-06-05 17:35:19
dokter ny aktif merespon pertanyaan kita.,5,2025-06-05 14:25:27
dokter putri alsyifa alwis bagus pelayanannya,5,2025-06-05 14:25:26
Untung ada halodoc,5,2025-06-05 13:56:49
Mantap deh lebih praktis,5,2025-06-05 13:56:20
"jujur,ngebantu banget,respon dari dokternya baik,lope deh,semoga terus lancar ya halodock",5,2025-06-05 12:30:02
Memudahkan ibu konsultasi tanpa meninggalkan anak 🥰,5,2025-06-05 11:36:48
aplikasi yang baguss,5,2025-06-05 11:21:52
"bagus , pelayanan ramah sangat membantu sekali🥰",5,2025-06-05 08:58:47
dokternya komunikatif dan sangat membantu,5,2025-06-05 08:35:02
terima kasih dokter Bayu..sdh menjawab setiap pertanyaan kmi moga ank sy cpt sembuh,5,2025-06-05 06:50:59
oke,5,2025-06-05 05:59:37
dilayani dgn baik oleh dokter,5,2025-06-05 05:59:04
"aplikasi halodoc sdh bagus,membantu org yang butuh obat dgn waktu relatif cepat, tp tidak untuk aplikasi delivery nya, yaitu medex yg tidak masuk akal, maunya untung besar, dan membayar murah...",1,2025-06-05 05:57:03
Mantab halodoc solusi tercepat,5,2025-06-05 05:14:50
banyak membantu,5,2025-06-05 04:21:19
sangat membantu tanpa hrs keluar rumah,5,2025-06-05 03:29:45
sangat membantu untuk yang tinggal sendirian kalau lagi ada keluhan kesehatan,5,2025-06-05 02:43:21
"kita bayar konsultasi tapi dokternya seperti sedang chat dengan orang lain, jawabannya lama, template dan menurutku lebih baik tanya Google saja biar lebih jelas.",1,2025-06-05 02:39:20
mantap,5,2025-06-05 02:38:42
sangat mmbantu setiap lgsung chat dokter dan smua masalah tratasi,5,2025-06-05 01:01:34
"sempet konsultasi, tapi tidak ada respon sama sekali dari dokternya, dan si dokter nyuruh buat konsultasi lagi? berarti saya harus buang buang duit saya lagi buat ngomong sama dokter yang gapernah respon pasiennya ya? udah gitu alasan dokter tersebut gangguan sinyal. percuma buang buang duit kalo kayak gitu.",1,2025-06-05 00:11:01
pengalaman pertama konsultasi di aplikasi Halodoc Alhamdulillah cukup membantu.. terimakasih halodoc,4,2025-06-04 22:52:44
sangat membantu sekali,5,2025-06-04 19:27:47
sangat membantu sekali kala perlu info jelas dan akurat tentang kesehatan,5,2025-06-04 15:29:52
aplikasi yang sangat membantu untuk konsultasi kesehatan,5,2025-06-04 14:44:30
bermanfaat,5,2025-06-04 13:15:43
keren,5,2025-06-04 13:04:08
sangat membantu,5,2025-06-04 12:55:18
"sanagat puas, dokternya cepat tanggap",5,2025-06-04 12:50:57
aplikasi sangat membantu jika ada keadaan darurat dan sakit ringan. juga bisa konsultasi ke psikolog dan psikiater,5,2025-06-04 11:01:49
keren,5,2025-06-04 09:09:06
Sangat terbantu dengan kami yang jauh dari dokter praktek..👍👍,4,2025-06-04 07:40:15
memuaskan dan detail dokter lingga SpA,5,2025-06-04 06:20:31
"apa apaan ? bayar 61 ribu cuma awalnya di sapa doang, kecewa pakai aplikasi ini",1,2025-06-04 04:54:18
sangat baik full respon,4,2025-06-04 03:50:06
sangat memuaskan,5,2025-06-04 02:33:28
manteb,5,2025-06-04 01:30:22
durasi konsultasi dengan dokter singkat dengan biaya yg lumayan menguras kantong,2,2025-06-04 00:53:21
"terlalu ribet dan kliatan banget ini apalagi nyari duit nya , untuk mode pengiriman udah Dil yang instan memang jauh lebih mahal ya udah ga pp, tapi kenapa beli obat nya harus nambah biar bisa di proses, padahal jumlah obat yang di beli udah sesuai kebutuhan, jika di tambah maka akan mubasir, aplikasi nya sangat mengecewakan dan tidak berguna",1,2025-06-03 21:33:50
sangat membantu terutama diwaktu malam hari,5,2025-06-03 13:51:34
Aplikasinya sangat bermanfaat,5,2025-06-03 13:50:59
"mudah instalasinya, dokter dokternya juga kooperatif.. mantap deh",5,2025-06-03 12:13:51
memudahkan dalam konsultasi dokter,5,2025-06-03 09:35:51
Sangat baik,1,2025-06-03 05:50:04
dokter nya ramah semua dan jwb pertamyaan detail,5,2025-06-03 04:49:49
sangat membantu,5,2025-06-03 03:21:49
mantap aplikasinya,5,2025-06-03 00:55:16
dokternya fast respon,5,2025-06-02 21:35:25
bagus cepat tanggap,5,2025-06-02 16:42:42
👍,5,2025-06-02 12:59:22
Good.. fast respon,5,2025-06-02 12:54:07
"ini gimana dah konsep nya ? udah payment, nunggu Konsul 1 menit tbtb dokternya sibuk trs tau tau selesai padahal belum ngapa ngapain Konsul juga belum duit melayang gtuh aja",1,2025-06-02 12:47:29
"overall oke. Yang saya kurang suka adalah pengiriman dibedakan, ada yang instan dan reguler. Ini kan untuk kesehatan ya. kenapa ga usahakan yang terbaik agar obat bisa diterima oleh pelanggan, tapi justru dianggap jadi ladang bisnis dan dibuat kelas. edit : dari bintang 3 jadi bintang 1. review jujur, eh dibalas hubungi cs untuk keluhan.",1,2025-06-02 12:39:10
"sangat membantu, apalagi untuk anak rantau",5,2025-06-02 12:34:43
cuman kurang puas sesinya cuman 30 menit,5,2025-06-02 12:32:01
mempermudah saya untuk konsultasi lebih sering ketika ada keluhanan kesehatan di keluarga,5,2025-06-02 12:02:41
"terimakasih ,sangat membantu",5,2025-06-02 11:56:00
sangat membantu,5,2025-06-02 10:33:30
mantap,5,2025-06-02 09:50:03
bagus,5,2025-06-02 09:09:01
obat yg diresepkan tidak ada dikota bandung percuma pakai asuransi. kalau resep obatnya tidak bisa digunakan. sudah berulangkali. aplikasi yg sangat mengecewakan.,1,2025-06-02 08:57:45
sangat membantu,5,2025-06-02 04:24:11
simple,5,2025-06-02 04:04:51
Terharu sih. Sudah memperbaiki pelayanan. Bahkan dokter saya semuhrim semua tp memberi resep yg bagus2. Itulah pentingnya jd dokter amanah yg merawat dgn kasih sayang ga peduli gender maupun kondisi keuangan. Btw makasih dokter-dokter yg sudi memberikan konsultasinya dengan baik. Alhamdulillah penyakit kulit saya sembuh🙏,5,2025-06-02 00:36:55
praktis. cuma untuk harga lumayan mahal sih,5,2025-06-02 00:07:07
Sudah bayar buat chat dokter malah gagal saldo hangus aplikasi penipuan gak ada opsi bantuan apaan aplikasi penipu ini,1,2025-06-01 16:16:52
Baguus bgt,5,2025-06-01 14:12:29
mantaf gercep,5,2025-06-01 13:30:12
Sangat Bermanfaat,5,2025-06-01 12:26:54
bagus sekali,5,2025-06-01 12:13:33
"ini gimana ceritanya mau ke ahli kulit malah d kasih ke ahli paru gak nyambung dong ,tolong ini gimana solusinya mana udah bayar gak dapat informasi apa apa pula.",5,2025-06-01 10:24:33
aplikasi yg sangat membantu dlm kondisi darurat,5,2025-06-01 09:48:05
Bagus,5,2025-06-01 08:39:56
ok,5,2025-06-01 07:34:29
"cukup membantu,dokter dokternya informatif bgt😇",5,2025-06-01 07:28:21
baik,5,2025-06-01 06:54:26
Sangat membantu dengan ada nya aplikasi Halodoc.,5,2025-06-01 06:03:57
"dokternya tidak mengerti sama sekali,sakit parah malah di kasih 1 hari padahal sudah rekomen 2 hari bahkan obatnya mahal mahal,lebih teliti lagi halodoc",1,2025-06-01 05:55:47
"aplikasi sangat membantu sekali, dan pelayanannya cepat",5,2025-06-01 04:39:35
berobat lebih mudah tanpa harus antri,5,2025-06-01 04:18:19
Respon tiap konsultasi sangat cepat.,5,2025-06-01 03:57:06
konsultasi yang sangat membantu dihari libur. resep obat yg dikasihpun cepat datangnya. Terima kasih Halodoc,5,2025-06-01 03:37:14
sangat membantuu,5,2025-06-01 03:08:28
mantap,5,2025-06-01 02:44:29
rekomendasi sekali,5,2025-05-31 23:37:32
kebetulan kalo order di halodoc aku selalu dapat driver yang baik...terima kasih,5,2025-05-31 16:09:42
ok bgt,5,2025-05-31 15:38:56
sangat detail dan sangat membantu,5,2025-05-31 12:50:36
Layanan kirim obat belum tersedia di berbagai juru pelosok indonesia,1,2025-05-31 11:44:51
pilihan tepat pesan obat,5,2025-05-31 11:32:42
sangat membantu,5,2025-05-31 09:16:32
FAST respond,5,2025-05-31 05:52:35
"menyenangkan sekali, jadi gak harus antre ke klinik 🫢,, nanti tinggal liat hasilnya,",5,2025-05-31 04:09:51
dokter cepat merespon dan memberikan penjelasan penyakit dengan baik serta merekomendasikan obat dengan penjelasan cara pemakaian nya dengan jelas,5,2025-05-31 03:24:05
pelayanan nya bagus sangat puasa,5,2025-05-31 03:23:19
okeee,5,2025-05-30 23:26:26
. sngt membntu aplagi maslh mens saya tdk teratur .. bisa konsul dgn dokternya via cht sngt membntu saya .,5,2025-05-30 22:49:45
"ini aplikasi penyedia obat. kita semua tahu, obat adalah pertolongan yang harus di segerakan, bukan seperti barang yang masih bisa kita tunda. Seharusnya lebih dikembangkan lagi penyedia di setiap kota, agar tidak terjadi pengiriman yang harus jauh dari tujuan. setiap kota bahkan setiap kecamatan pasti sudah memiliki apotek.",1,2025-05-30 22:38:29
good,5,2025-05-30 15:47:02
👍👍,5,2025-05-30 15:38:44
"pelayanan dokter nya sangat membantu, meskipun malam hari sy chat tp dokternya ttp memberikan pemjelasan yg jelas...terimakasih halo doc",5,2025-05-30 14:44:29
sangat membantu,5,2025-05-30 14:24:25
bagus,5,2025-05-30 13:13:55
sangat membantu,5,2025-05-30 12:26:41
sangat membantu,5,2025-05-30 11:12:45
Mudah dan Tuntas,5,2025-05-30 10:32:23
bermanfaat,5,2025-05-30 08:57:23
inovasi memudahkan,5,2025-05-30 08:42:47
"Mudah mudahan cocok dan bermanfaat beli obat lewat halodoc dan juga terimakasih atas konsultasi dengan bu dokternya, kita bisa hemat biaya dan hemat waktunya, lebih efisien, ndak ribet, obat bisa langsung di anterin, terima kasih halodoc... 🙏",5,2025-05-30 07:16:30
berguna banget,5,2025-05-30 05:41:24
so good pelayanan nya,5,2025-05-30 05:01:32
sangat membantu,5,2025-05-30 02:23:17
nice app,5,2025-05-29 16:10:05
"pengalaman yg kurang mengenakkan.. mitra drivernya yg berganti2 ternyata tutup apotek nya.. pas di check order sdh terkonfirmasi jadi tidak bisa di batalkan.. suruh hubungi cs nya, malah di puter2 & prosedur agak ribet namun setelah di konfirmasi by phone langsung cepat tanggap. saran&masukan : kalo bisa diperbaharui lagi sistem aplikasi nya agar terus update utamanya seputar pengiriman produk/obat nya, apabila terjadi kendala pilihan cancel mdh agar tidak berdampak ke customer terimakasih",3,2025-05-29 14:57:46
suka banget sama tim halodoc yg selalu jadi andalan utama untuk konsultasi seputar kesehatan dan segala permasalahan kulitku🫶🏻😘,5,2025-05-29 14:50:20
Mantap,5,2025-05-29 14:15:00
Memudahkan dalam berobat dan praktis,5,2025-05-29 12:52:53
bagus,5,2025-05-29 12:50:56
good app,5,2025-05-29 12:43:08
saya kecewa dengan halo doc. mulai seterusnya saya tidak akan mau pakai halo doc.,1,2025-05-29 11:57:05
sangat membantu,5,2025-05-29 11:33:09
dr stephanie amelia Sp.D.V.E sangat jelas menjelaskan kendala saya,5,2025-05-29 11:16:00
baik,5,2025-05-29 10:25:55
Fast & Smart response.,5,2025-05-29 07:43:56
"cukup membantu, tapi memang lebih efektif ketika bertemu lansung dengan dokternya sehingga bisa di diagnosa secara lebih akurat",5,2025-05-29 07:30:50
bagusss ini saya cari bisa kunsul tasi dan di bikinkan resep obat,5,2025-05-29 07:14:16
sangat membantu sekali dalam konsultasi via online dgn dokter di halodoc jadi ga perlu repot keluar rumah. thanks.,5,2025-05-29 05:50:49
oke,5,2025-05-29 03:47:23
terima kasih dok semoga lekas sehat,5,2025-05-29 03:05:42
"ya rezeki2 an dapet dokternya, kdng ad dokter yg welcome kdng ad dokter yaudah dueeeh 😂😂",5,2025-05-29 03:00:37
sangat puas karna keluhan yang kita alami dapat cepat ditanggapi,5,2025-05-29 01:59:51
"first time konsul di halodoc, so far sih oke kebetulah ada masaha gigi dan konsul ke drg. nurul nufitijani sukarja. oke karena banyak kasih masukan dan saran juga terima kasih",5,2025-05-29 01:51:33
Komplain lambat saat barang gak sesuai apa yg dipesan,2,2025-05-29 01:09:26
Bagus Terus Dikembangkan👍🤝👍,5,2025-05-28 23:50:47
dengan adanya haodoc membantu kita untuk berkonsultasi masalah kesehatan dimana saja dan kapan saja..,5,2025-05-28 23:47:13
respon nya cepat,5,2025-05-28 14:45:06
respon cepat,5,2025-05-28 12:28:31
Sgt bermanfaat 👍🏻👍🏻👍🏻👍🏻👍🏻,5,2025-05-28 11:26:27
sangat membantu aplikasinya..rekomend deh,5,2025-05-28 11:00:23
penanganan cepat respon baik obatnya juga manjur,5,2025-05-28 10:58:31
"untuk obat lengkap, tp dpt keluhan driver apa bener ada ongkir yg 5rb ? pdhl kita bayar lumayan ongkir nya",5,2025-05-28 05:28:55
mantap,5,2025-05-28 04:52:18
sangat puas dengan pelayanan nya👍👍,5,2025-05-28 04:21:17
mwmbantu sekali untuk kami yg tidak bisa ke dokter di hari kerja..,5,2025-05-28 01:30:52
joss poll,5,2025-05-28 00:47:33
halodoc the best,5,2025-05-27 14:07:41
ramah dokternya dan cepat obat nya sampai...,5,2025-05-27 14:07:24
membantu sekali. jam berapu dikirim. terima kasih halodoc.,5,2025-05-27 13:09:47
good,5,2025-05-27 13:04:07
"Aplikasi yg sangat membantu utk konsultasi kesehatan ke dokter spesialis ataupun dokter umum, solusi praktis",5,2025-05-27 11:56:06
"bintang tiga dulu,soalnya ketika chat sama dokter dan perlu foto hasil pemeriksaan dan meng Upload nya batasan Filenya terlalu kecil sehingga file atau foto pecah sehingga dokter tidak bisa membaca file atau video yang kita konsultasikan ke dokter",3,2025-05-27 10:53:46
sangat membantu,5,2025-05-27 10:26:27
untuk pemakaian pertama bagus sih,5,2025-05-27 09:33:14
terimakasih Halodoc. sangat membantu sekali aplikasinya untuk yg lokasinya jauh dari rumah sakit.,5,2025-05-27 08:41:40
bagus dan memuaskan,5,2025-05-27 08:20:00
halodoc ok banget,5,2025-05-27 08:15:52
membantu konsultasi online saat tidak ada tenaga medis di daerah kabupaten atau yg aksesnya cukup jauh,5,2025-05-27 02:30:58
mantap efisien,5,2025-05-27 02:11:52
kemudahan konsultasi dan dapat resep obat,5,2025-05-27 02:04:46
sangat membantu dikala sibuk dgpekerjaan,5,2025-05-27 01:26:39
good,5,2025-05-26 16:42:01
sangat membantu 😍👍,5,2025-05-26 09:57:48
terbaik,5,2025-05-26 09:04:51
"belum jadi konsultasi karena nggak direspon, tapi sudah kepotong saldo gopaynya",1,2025-05-26 06:17:06
"sangat berterimakasih dan bersyukur ada halodoc. bisa ngirim obat ke kampung untuk ortua, konsulin alm mama waktu kena covid, dan skrg aku kena ball's spasy langsung konsul ke halodoc, karna baru pindah kekota ini posisi lg sendiri krna suami kerja gk bs langsng ke rs. berharap bgt halodoc dikenal bangak orang pasti saangatt terbantu. Pertahankan terus pelayanan dari sisten dan dokter2nya . Terimakasih banyal Halodoc 🙏🙏🙏🫶",5,2025-05-26 04:47:56
lebih mudah dan cepat,5,2025-05-26 03:47:47
membantu sekali,5,2025-05-26 03:14:23
Cukup jelas dan mudah di pahami,5,2025-05-26 01:24:35
fast respon,5,2025-05-26 01:19:40
"aplikasi nya bagus respon dokter nya cepat dan ramah,kalian juga wajib download 🥰",5,2025-05-26 00:58:37
pesanan dibatalkan 5 kali padahal lagi butuh banget obat,1,2025-05-25 17:21:01
puas,5,2025-05-25 17:00:47
membantu sekali apalagi ad asuransi Prudential,5,2025-05-25 15:05:53
bisa konsultasi dengan dokter tanpa harus mengantri. benar benar praktis.,5,2025-05-25 13:39:49
apk nya membantu,5,2025-05-25 13:37:53
"pelayanan baik, informasi jelas dan cepat",5,2025-05-25 12:00:54
"saya mau pakai ""pengingat obat"" tp ternyata ga bs diubah bagian *berapa kali sehari* itu ga bs diubah cuma bisa diubah jam saja, misalnya mau mengubah jadwal minum obat jd ke 2×sehari/ setiap 5 jam sekali, ga bs diubah, cm bs 3 × sehari. Pdhl sy udh berobat diaplikasi jd krn ga bs diubah, harus unduh aplikasi lain. Jd harus pake 2 aplikasi berbeda",1,2025-05-25 10:33:23
good respon,5,2025-05-25 04:30:41
mantapp,5,2025-05-25 03:43:13
membantu sekali konsultasi dikala panik kalau butuh pengarahan dokter,5,2025-05-25 02:06:28
fast respond,5,2025-05-25 01:33:48
"pesananan saya 6jam lebih ga dikirim. nelpon cs gabisa no nya, gmail, ga jelas jawabannya. pihak halodoc ga ngasi peringatan apapun sama gosennya. pihak gosennya pun ga ngasih tenggat waktu kalp barang telat datang.",1,2025-05-24 23:42:41
sangat puas,5,2025-05-24 15:19:22
memuaskan,5,2025-05-24 14:54:37
"dokter fast respon, terima kasih untuk dokter yg sudah membantu saya untuk pemulihan",5,2025-05-24 12:11:49
dokternya benar² baik dan diagnosanya cepat,5,2025-05-24 11:50:46
"udah bayar tapi gk ada respone dari dokternya,...!!!",1,2025-05-24 11:22:29
sangat membantu,5,2025-05-24 10:44:59
ok,5,2025-05-24 10:43:11
👍👍👍,5,2025-05-24 10:39:21
"bisa berobat cepat dari rumah, dokternya ramah dan cepat merespon",5,2025-05-24 09:36:49
sangat baik dan sangat membantu,5,2025-05-24 07:35:37
okey,5,2025-05-24 07:11:04
sangat membantu masyarakat luas.. semoga tetap eksis selalu,5,2025-05-24 05:08:34
pesan sesuai cepat pengantaran,5,2025-05-24 04:56:11
Keterangan status Pengiriman Barang dan Nama Toko Tidak Tercantum tidak bisa di lacak. juga tidak ada fasilitas chat,1,2025-05-24 03:43:28
aplikasi yg sangat membantu,5,2025-05-24 00:12:27
sangat membantu mengenai kesehatan,5,2025-05-23 23:32:11
Puas dengan pelayanan konsultasi dokter spesialisnya,5,2025-05-23 17:07:48
dokter2nya ramah2 dan bisa jd andalan saat dibutuhkan...good...,5,2025-05-23 13:22:29
bagus dan membantu,5,2025-05-23 12:39:25
sangat membantu ...,5,2025-05-23 11:37:43
Mantap,5,2025-05-23 09:33:10
pelayanan ramah dan menyenangkan,5,2025-05-23 08:45:02
positif dan thumbs up,5,2025-05-23 06:06:33
penanganan yang cepat,4,2025-05-23 04:29:47
helpful,4,2025-05-23 03:30:35
top,5,2025-05-23 03:02:24
sangat membantu..,5,2025-05-23 03:00:21
Sangat membantu dan dokter nya fast respon,5,2025-05-23 01:13:30
"Respon dokter cepat, terima kasih dok",5,2025-05-23 01:07:38
cepat membuat resep,5,2025-05-22 19:06:33
sangat membantu untuk saya konsultasi dengan dokter dimanapun dan kapanpun itu . terima kasih halodoc 🙏🙏🙏,5,2025-05-22 16:41:17
okkkkk,5,2025-05-22 16:35:19
halodoc sekarang responsif👍🏻,5,2025-05-22 15:35:59
sangat membantu mengetahui penyakit dan memberikan resep.,5,2025-05-22 15:24:08
bayar mahal konsul eh gadapet jawaban keburu abis waktu!,1,2025-05-22 15:13:49
Membantu,5,2025-05-22 14:45:14
"waaaaa gampang bgt cari obatnyaaa sumpah membantu syekali love bgt halodoc, cepet bgt lg sampenya",5,2025-05-22 13:05:16
Sngat membantu,5,2025-05-22 12:28:04
sangat membantu,4,2025-05-22 11:27:58
good job,5,2025-05-22 06:57:41
sangat memuaskan,5,2025-05-22 04:21:24
"bnyk perubahan signifikan di aplikasi. mudah digunakan, cepat, user friendly. aplikasi yg bagus",5,2025-05-22 04:19:10
bagus aplikasinya,5,2025-05-22 02:08:03
ga biss d update,5,2025-05-22 00:09:12
sangat membantu,5,2025-05-21 17:14:03
