content,score,at,sentiment
sangat membantu,5,2025-08-14 09:07:51,positif
"suka dengan halodoc, fast resp ketika butuh dokter .",5,2025-08-14 06:56:01,positif
Pengiriman kode otp gagal..... apa maksudnya itu woy niat mau cari konsultasi kulit buat jerawat malah disusahin dari sananya hadehh,1,2025-08-14 06:53:13,negatif
dokter ramah dan sangat membantu,5,2025-08-14 04:53:53,positif
fast respon dokternya,5,2025-08-14 00:38:36,positif
"sangat membatu ketika urgent, duit bukan segalanya,yg penting sehat adalah kekayaan yang sesungguh nya 🤗 terimakasih dokter halodoc 👍🏻👍🏻👍🏻👍🏻👍🏻",5,2025-08-14 00:26:35,positif
mantaf,5,2025-08-13 12:22:54,positif
sangat membantu,5,2025-08-13 11:21:33,positif
"Sangat terbantu, berobat lebih murah dan mudah",5,2025-08-13 09:30:56,positif
dokternya baik,5,2025-08-13 09:28:36,positif
sangat membantu,5,2025-08-13 08:40:17,positif
aplikasi busuj login aja kagabisa,1,2025-08-13 07:37:33,negatif
dokternya baik,5,2025-08-13 07:24:38,positif
mantaaaap,5,2025-08-13 05:50:31,positif
Pelayanan yang sangat luar biasa dari dokter Putri,5,2025-08-13 05:16:14,positif
mantap Bu dokter Ade indrayani,5,2025-08-13 04:43:20,positif
"komplain udah lewat email udah lewat tlp tetep ga ada solusi penyelesaiyan nya. sistem kerja bermasalah, resep sekali pakai giliran stok obat di apt mitra gada malah ga ngasih solusi dikira bisa beli obat tanpa resep gitu. ngapain nyediain jasa konsultasi dokter",1,2025-08-13 03:52:18,negatif
"sangat amat membantu untuk pertolongan pertama,dan penjelasan dokternya sangat amat jelas dan sangat detail, sukses selalu 👍👍👍🥰🥰🥰",5,2025-08-13 03:47:27,positif
sangat membantu. tapi pilihan obat terlalu sedikit dan kebanyakan dari farmasi interbat saja obatnya,5,2025-08-12 21:34:50,positif
udah Konsul yg ke 6 dengan dokter Karlina dan masyaallah bertahun tahun bingung sembuhin jerawat kaya gimana udah pake ini itu GK ada perubahan dan sekarang udah nemuin aplikasi plus dokter yg bener bener baik dan seramah itu ah pokoknya mantap 👍👍👍👍🥰🥰🥰🥰,5,2025-08-12 14:49:11,positif
sangat membantu,5,2025-08-12 13:52:49,positif
"buruk bgt, ga rekomen. pesanan tb2 dibatalkan ama dokter nya 👎🏻👎🏻👎🏻",1,2025-08-12 13:20:49,negatif
lebih praktis,5,2025-08-12 11:35:03,positif
aplikasi yang sangat membantu pada saat keadaan darurat sakit dan tidak bisa ke rumah sakit,5,2025-08-12 10:52:52,positif
mantap,5,2025-08-12 10:30:34,positif
merespon pasien dengan baik,5,2025-08-12 09:12:23,positif
baguss,5,2025-08-12 06:37:59,positif
kenapa sinyal di aplikasinya loading terus yaa pdhal aplikasi lain buka lancar,4,2025-08-12 02:14:22,positif
sangat bermanfaat,5,2025-08-11 23:12:15,positif
"PAKET LAMA BGTT DTNG NYA, UDH 2 MINGGU LEBIH TU PAKET G TAU KEMNA DI PERJALANAN MULU, DI GUNDUL KUYANG KALI YA🥺 WKWK. MAAF YA SEBELUMNYA SY JG G BERMAKSUD KASI bintang⭐ TP INI GIMNA DAH PELAYANAN PENGIRIMAN, MNA G BISA DI RETURN LG ASTAGFIRULLAH 33×. UDH HUBUNGIN CS JG RESPONNYA GITU"" MULU AELAH. MOHON YAA! PAKE BGT SI INI. BAGIAN PENGIRIMAN NYA TOLONG DI PERBAIKI KASIAN ORG (SAYA) YG BUTUH BGT OBATNYA SEGERA TP MALAH DISURUH NUNGGU. SY JG UDH BAYAR ONGKIR TP MALAH BEGINI ADUHH.💔",1,2025-08-11 16:43:41,negatif
aplikasi sampah. masak metode pembayaran satu akun cuma bisa pake satu akun gopay.,1,2025-08-11 15:38:39,negatif
selalu cocok dg resep dokter,5,2025-08-11 14:45:07,positif
alamat sulit di ralat,4,2025-08-11 12:57:50,positif
error terus gagal pembelian,2,2025-08-11 12:00:32,negatif
ok,5,2025-08-11 10:50:56,positif
penjelasan dokternya mantep,5,2025-08-11 10:00:45,positif
"ngelag, ga bisa balikin dana gw.",5,2025-08-11 07:23:21,positif
bagus sekali,5,2025-08-11 06:41:35,positif
baik,5,2025-08-11 06:37:08,positif
🥰🥰🥰,5,2025-08-11 06:02:14,positif
"mau konsul ulang twpi dokternya s lalu offline, dan mau di jadwalin put tidak tersedia",1,2025-08-11 05:28:37,negatif
keren,4,2025-08-11 05:16:12,positif
"kok pembayaran nya gbsa pake bca yg gada master card nya, pdhl pengen banget konsultasi biar gk ke dokter langsung",4,2025-08-11 04:19:34,positif
sangat membantu huhu masuk surga deh yg bikin aplikasi ini. Dokternya jg sangat membantu. Makasij,5,2025-08-11 03:45:25,positif
sangat membantu,5,2025-08-11 02:43:42,positif
"really bad now. chat sm dokter tiba² mati sendiri, gabisa tersambung ke asuransi, ga dapet resep, trus fungsinya apa (?)",1,2025-08-11 01:36:09,negatif
sangat membantu dan memudahkan,4,2025-08-11 01:22:40,positif
membantu,5,2025-08-10 15:49:27,positif
sy puas dgn konsultasi ini...tks,5,2025-08-10 14:20:29,positif
mumtaz,5,2025-08-10 13:58:23,positif
Alhamdulillah terbantu halodoc.,5,2025-08-10 13:18:05,positif
"sangat membantu, dan waktunya sangat fleksibel",5,2025-08-10 13:00:33,positif
good,5,2025-08-10 12:25:24,positif
sangat membantu apalagi kalau punya voucher 🤭,5,2025-08-10 11:31:56,positif
recom banget,5,2025-08-10 10:50:20,positif
sangat membantu sekali!!,5,2025-08-10 10:16:23,positif
sangat membantu,5,2025-08-10 09:52:50,positif
sangat membantu permasalahan kesehatan saya. terimakasih,5,2025-08-10 09:50:38,positif
"sangat membantu sekali , jadi bisa konsultasi tanpa harus jauh2 ckup pake handphone aja..",5,2025-08-10 08:00:12,positif
sangat terbantu dgn aplikasi ini skalipun dari rmh kita ttp bisa konsultasi kesehatan dan jg kita dapat memilih dokter sesuai kebutuhan.,4,2025-08-10 07:49:47,positif
"saya sangat terbantu dengan meng konsultasi kan masalah saya dengan dr, terimakasih Sudah membantu😇",5,2025-08-10 07:28:49,positif
"sangat terbantu dengan adanya Aplikasi ini. sy Konsul tentang wajah dengan dokter Rizky Amelia Noviyanthi bnr-bnr dokternya detail ngejelasin nya. tdk terburu2 utk mengakhiri sesi Konsul, sy sangat senang dan bisa lebih mudah utk membeli obat sesuai yg di resepkan.. trimakasih yaaa 👍🏼🤗",5,2025-08-10 06:26:48,positif
sangat membatuuuu,5,2025-08-10 04:46:24,positif
selalu sembuh kl konsul disini,5,2025-08-10 04:12:17,positif
"aplikasi ny bagus, dokter juga ramah"" thankyou atas bantuan nya👍",5,2025-08-10 02:39:43,positif
membantu,5,2025-08-10 02:31:20,positif
sangat membantu aplikasinya dan dokternya juga sangat baik,5,2025-08-10 01:32:32,positif
sangat membantu sekali,5,2025-08-10 00:07:08,positif
"sangat sangat merugikan konsumen, saat akan beli vitamin dengan 2 merek yg berbeda harus menggunakan 2 kurir pengiriman nya?! DAN ONGKIRNYA MAHAL SEHARUSNYA BISA BELI DI TOKO YG SAMA Tanpa MENGUNAKAN 2 KURIR ! DASAR KAPITALIS Perusahaan YG DI BELI ASTRA CINA PASTI AKAN KAPITALIS !",1,2025-08-09 23:59:45,negatif
"dokternya baik dan detail menerangkannya , terimakasih dok",5,2025-08-09 23:53:43,positif
ini serius dokternya ramah ramah banget besttttttt,5,2025-08-09 15:01:03,positif
"saat darurat tidak bisa ke dokter langsung, bisa konsultasi ke halodoc. sangat membantu",5,2025-08-09 13:49:16,positif
dengan adanya halodoc sangat membantu sekali dalam keadaan yg memerlukan penanganan segera. terimakasih halodoc.,5,2025-08-09 13:34:02,positif
"Dokter nya ramah,menjelaskan dg sabar terimakasih",5,2025-08-09 11:52:36,positif
mantap,5,2025-08-09 08:59:56,positif
Sangat membantu,5,2025-08-09 06:27:35,positif
membantu,5,2025-08-09 04:34:40,positif
terima kasih dok...saya jadi optimis dengan ASI dok..,5,2025-08-09 03:54:46,positif
dokternya fast respon dan ramah,5,2025-08-09 00:30:21,positif
respon cepat dan ramah,5,2025-08-08 23:46:03,positif
sangat membantu,5,2025-08-08 23:13:10,positif
sangat2 membantu dan dokter nya menjelaskan sangat2 detail,5,2025-08-08 15:01:40,positif
terima kasih sangat membantu.dokter jg ramah dan berdedikasi,5,2025-08-08 14:58:36,positif
bagus,5,2025-08-08 11:38:47,positif
rekomend pokonya!,5,2025-08-08 11:30:57,positif
"min tolong saya jangan di persulit dong, di minta masukin nomor telfon, gantian dah saya masukin malah kode nya eror, pdhl nomor yg saya masukkan bener. ini saya harus gimana? soalnya saya bener2 butuh buat nyari obat buat adek saya yg sakit. balas minn balas pliss",3,2025-08-08 10:29:23,netral
"Lama mengirim video, pdhl waktunya singkat. mohon diperbaiki lgi, supaya puas konsultasinya.",4,2025-08-08 08:47:10,positif
"waktu tahun 2019-2021 sy sering konsul psikologi di Halodoc dan top up saldo. saldo msh ad sisa 150rb, setelah itu sy ganti hp dan tdk download Halodoc. bln kmrin sy download sy cek saldo. kok saldo sy hilang? hilang kemana ini saldo sy? tolong penjelasannya. terimakasih",1,2025-08-08 07:24:39,negatif
sangat membantu,5,2025-08-08 07:21:16,positif
Terima kasih aplikasi halodoc sangat membantu .saya sudah tidak bingung lagi atas permasalahan saya,5,2025-08-08 06:55:05,positif
"sangat baik, dokter cepat.....",5,2025-08-08 06:51:19,positif
dokternya baik! salah satunya dr joy jesica,5,2025-08-08 06:43:22,positif
sangat praktis,5,2025-08-08 06:11:20,positif
sangat membantu,5,2025-08-08 04:15:53,positif
"UI-nya jelek. ketika chat dgn dokter, keyboard menutupi jendela chat, jadi ga bisa melihat apa yg sedang diketik dan percakapan lainnya. belanja obat dari halodoc pengirimannya lambat, resi muncul tapi tidak bisa ditracking, expedisi menggunakan sh*pper.id resi tidak bisa ditracking.",1,2025-08-08 03:50:51,negatif
sangat cepat dan bagus,5,2025-08-08 03:44:17,positif
terimakasih halodoc,5,2025-08-08 00:25:32,positif
baik,4,2025-08-07 16:29:08,positif
"mudah banget dari daftar,Konsul, pembayaran resep. semuanya tersedia tanpa ribet",5,2025-08-07 16:10:47,positif
"dokternya gercep mantul pelayanannya, smoga obatnya cocok",5,2025-08-07 15:34:27,positif
"sangat membantu sekali,simple dan praktis",4,2025-08-07 14:50:39,positif
apk nya sangat membantu kondisi mendadak dalam penanganan pertama,5,2025-08-07 13:35:08,positif
Sangat membantu dalam hal masalah kesehatan,5,2025-08-07 11:56:36,positif
sangat membantu,5,2025-08-07 09:31:24,positif
"dokternya ramah ramah, dan sangat mudah dipahami",5,2025-08-07 05:27:58,positif
Mantaabbb,5,2025-08-07 04:35:19,positif
bagus,5,2025-08-07 04:31:48,positif
dokter jantungnya baik,5,2025-08-07 03:49:12,positif
respon cepat dr dokternya. sekalian dpt resep juga. utk masalah kulit bisa kirim foto utk area kulit bermasalah. top deh halodoc,5,2025-08-07 02:02:40,positif
Excelent,5,2025-08-06 19:56:43,positif
bagus dh cukup,5,2025-08-06 16:33:56,positif
"Jujur saja, aplikasi ini sangat membantu, bayangkan saja saya dapat memilih dokter sesuai kebutuhan bahkan di jam yg gk ada di tmpat praktek dokter pada umumnya. Harga tentu jauh sekali perbedaannya, saya periksakan anak saya ke tmpat praktek dokter bisa habis 500 sampai 700rb, disni biaya konsultasi rata2 tidak lebih dari 100rb, dan resep obat bisa dibeli di apotek. Terima kasih untuk pengembang aplikasi ini dan para dokter yg bergabung dalam aplikasi ini telah banyak membantu masyarakat luas",5,2025-08-06 14:19:57,positif
oke,5,2025-08-06 13:01:13,positif
"sangat membantu untuk orang seperti saya yang tinggal di plosok,tapi butuh konsultasi dengan dokter",5,2025-08-06 12:21:04,positif
aplikasinya sangat mudah digunakan,5,2025-08-06 12:02:26,positif
"selalu jadi andalan kalo sakit tapi males pergi ke klinik.. sukses selalu halodoc, dan dokter2 di indonesia",5,2025-08-06 11:56:16,positif
sangat membantu,5,2025-08-06 11:05:58,positif
pelayanannya sangat best of the best,5,2025-08-06 10:33:13,positif
ok,5,2025-08-06 09:47:03,positif
reapon yg baik,5,2025-08-06 09:13:32,positif
kirain layanan gratis.....,1,2025-08-06 09:10:06,negatif
"semakin kacau ya aplikasinya... awal saya menggunakan itu cukup bagus, tapi makin ke sini itu selalu membatalkan pesanan secara sepihak dengan alasan tidak jelas. Barang dalam perjalanan, tapi gagal di tengah jalan itu sangat amat aneh. Uang saya nyangkut menjadi saldo yg mubazir. Lalu saat ini lemot sekali",1,2025-08-06 05:30:40,negatif
recommended,5,2025-08-06 03:42:25,positif
mudah dan cepat,5,2025-08-06 00:09:27,positif
konsultasi dokter bisa online,5,2025-08-05 22:47:48,positif
penanganannya cukup baik,5,2025-08-05 16:04:53,positif
Sangat membantu ketika males pergi ke dokter atau lagi sakit ringan konsultasi dan dapat obat yg direkomendasikan oleh dokter-dokter terpercaya dan berpengalaman.Harga bervareasi mulai dari 25k sudah bisa konsultasi dengan dokter-dokter terpecaya.Good Job sihh,5,2025-08-05 15:05:06,positif
cukup bermanfaat,5,2025-08-05 13:58:37,positif
saya belum menerima paket saya tapi di riwayatnya sudah diterima bagaimana ini kak padahal uangnya hasil tabung jajan saya.. saya mohon tolongg kemana perginya paket saya,1,2025-08-05 12:16:18,negatif
"mungkin bisa ditingkatkan untuk pembayaran biar lebih gampang digunakan appnya, seperti contoh bisa transfer bank..",3,2025-08-05 11:07:58,netral
pengiriman lebih cepat estimasi 3jam 20 menit barang sudah smp the best,5,2025-08-05 09:56:32,positif
the best banget lah pokoknya,5,2025-08-05 07:39:44,positif
menyebalkan. pesen resep udah dibayar.malah dibatalkan begitu pesan ulang minta diresepkan antibiotik yang sama kepada dokter begitu minta jawaban dokternya pasien udah mengunakan berulang2 antibiotik.padahal kiriman batal belum nyampai.apa dokter disini begitu ya.usah jangan ada aplikasi ini.bukan malah.membantu pasien.malah bikin pasien.menderita..buruk sekali,1,2025-08-05 04:36:40,negatif
ok,5,2025-08-05 04:03:04,positif
memuaskan,5,2025-08-05 03:12:21,positif
"Terimakasih halodoc, saya bisa konsul darimana saja dan ngga perlu pergi keluar",5,2025-08-04 21:30:56,positif
sangat msmbantu ketika wktu tak bisa berkunjung ke dokter,5,2025-08-04 20:46:11,positif
"puas banget, bisa Konsul wajah dan berangsur baik. aq udh lepas dari cream2 dokter dari klinik. cuma Konsul ke halodoc resep2 apotik dan berangsur lebih baik. masyaAllah.. terimakasih Halodoc",5,2025-08-04 14:09:59,positif
okee,5,2025-08-04 12:15:33,positif
"aplikasi membantu konsultasi dengan dokter umum dan spesialis saat malas keluar rumah bisa langsung konsultasi dan di berikan resep dokter,, kemudian obat dapat di beli dan di pakai ,, setelah itu pengalaman saya jadi sehat kembali",5,2025-08-04 11:27:56,positif
Dokter nya ramah 🙏🙏,5,2025-08-04 10:59:01,positif
cakep,5,2025-08-04 10:13:09,positif
"baik dokternya, jelas, sangat membantu, tks..",5,2025-08-04 07:21:19,positif
sangat membantu dan docternya ramah,5,2025-08-04 06:04:51,positif
cepat dan tepat,5,2025-08-04 05:27:07,positif
sangat membantu,5,2025-08-04 03:05:52,positif
sangat membantu jiwa mager ke klinik atau RS. makasih,5,2025-08-04 02:50:21,positif
bagus dr astrid the best ...ramah sabar,5,2025-08-04 01:30:26,positif
dokter bagus skali sabar dan detail,5,2025-08-04 00:54:31,positif
membantu,5,2025-08-03 18:59:40,positif
"aplikasinya tolong dibenarkan lahhhh, banyak banget bug nya",2,2025-08-03 16:39:11,negatif
sangat memuaskan,5,2025-08-03 16:36:31,positif
sangat mudah,5,2025-08-03 11:09:27,positif
"halodoc cepat tanggap, dokternya baik2",5,2025-08-03 10:47:14,positif
Luar biasa terbantu,5,2025-08-03 10:45:06,positif
keren,5,2025-08-03 10:33:19,positif
good,5,2025-08-03 10:28:34,positif
"darurat kecelakaan mau bayar malah suruh konsul ke dokter dulu. darurat. pembayaran di bank2 itu aja. dihubungkan ke shopeepay gak bisa2 eror, ini aplikasi kesehatan lo.",3,2025-08-03 09:26:51,netral
baik,5,2025-08-03 08:51:21,positif
jawaban dokternya membantu,5,2025-08-03 03:13:39,positif
sgt membantuuuuu,5,2025-08-03 02:56:11,positif
"banyak dokter recommended,sangat membantu sekali saat butuh konsul darurat",5,2025-08-02 19:35:51,positif
mantap,5,2025-08-02 17:23:24,positif
pelayanan cepat dan tanggap,5,2025-08-02 13:31:54,positif
baik,5,2025-08-02 13:20:08,positif
cukup membantu,5,2025-08-02 12:44:57,positif
bagus membantu saat sakit dan ga ada praktek dokter nya,5,2025-08-02 11:59:57,positif
terimaksih dok semoga dietvkali ini lancar,5,2025-08-02 06:29:32,positif
dokter nya bagus dan fast respon,5,2025-08-02 06:05:31,positif
mantapp,5,2025-08-02 05:49:29,positif
bagus,5,2025-08-02 05:34:38,positif
mantap,5,2025-08-02 03:27:43,positif
"Emng tolol ga mikir apa cuman tanya doang bayar nya mahal bgt, cuman di Indonesia yg begini kesehatan aja berbayar, fasilitas di Indonesia 0 besar apa apa berbayar, bayangkan cuman tanya doang belum berobat nya loh ga punya hati apa sama aja Alodok atau apk apapun berbayar padahal cuman niat nanyak doang ( saya gak sakit cuman mencurahkan salah satu kelur kesah tinggal di indo yg minim)",1,2025-08-02 02:58:47,negatif
sangat baik,5,2025-08-02 02:39:57,positif
ok,5,2025-08-02 02:03:43,positif
ok,5,2025-08-02 01:49:23,positif
aplikasi yang sangat membantu dikala membutuhkan konsultasi dokter & dapat obat di waktu yg cepat,5,2025-08-02 01:44:12,positif
sy cukup terbantu dan puas dg bantuan konsul dg hallodoc inj.makasih halodoc.,5,2025-08-02 01:27:25,positif
oke,5,2025-08-01 17:54:09,positif
membantu,5,2025-08-01 16:03:22,positif
mantaaap sangat mempermudah 👍👍,5,2025-08-01 15:52:01,positif
saya suka,5,2025-08-01 15:48:51,positif
"sangat gercep disaat sangat membutuhkan apalagi disaat tgl merah smua klinik tutup, thanks so much",5,2025-08-01 15:29:53,positif
sangat membantu sekali trimakasih,5,2025-08-01 15:28:18,positif
"konsultasi di halodoc nyaman,tenang dan memuaskan. Terimakasih dokter sudah memberikan informasi yang sangat jelas.",5,2025-08-01 14:36:09,positif
sangat membantu,5,2025-08-01 14:31:50,positif
sangat cocok,5,2025-08-01 13:41:18,positif
sangat berguna,5,2025-08-01 12:56:49,positif
rekomen bgt untuk kondisi darurat,5,2025-08-01 08:30:02,positif
apk keren,5,2025-08-01 00:02:07,positif
"saya sudah melakukan pembayaran untuk konsultasi dengan dokter, dan pembayaran lewat shopeepay sudah berhasil. tapi mengapa di keterangan halodoc pembayaran gagal, padahal di saldo shopeepay saya sudah kepotong oleh halodoc. berasa kena tipuu lumayan 68ribu",1,2025-07-31 21:16:30,negatif
cara mudah berobat,5,2025-07-31 15:28:39,positif
mantap,5,2025-07-31 12:39:33,positif
membantu,5,2025-07-31 12:15:28,positif
bagus,5,2025-07-31 11:26:05,positif
"Sangat kecewa dgn aplikasi ini, saya tidak mendapatkan jawaban apapun. 😤👎🏻masa iyaa harus bayar berkali kali dulu baru bisa dapatkan jawaban.",1,2025-07-31 11:24:56,negatif
sangat membantu,5,2025-07-31 10:49:48,positif
"terbaik , konsultasi yang bagus dari dokternya",5,2025-07-31 10:48:05,positif
good,5,2025-07-31 08:26:34,positif
good,5,2025-07-31 08:10:54,positif
sangat membantu,5,2025-07-31 06:14:37,positif
puas sm pelayanannnya,5,2025-07-31 05:51:13,positif
Sangat sangat membantu di kala kita sibuk... tanpa antrean bisa konsultasi ke dokter dengan mudah dan nyaman... Dan obat di antar smp ke rumah... Terima kasih Halodoc,5,2025-07-31 05:12:26,positif
baik,5,2025-07-31 04:40:22,positif
"Pembayaran cepat, menu terlihat modern dan mudah dipahami Tapi dalam chat kepada dokter Keyboard menutupi chat sehingga sering typo, dan juga tidak bisa copy chat dari riwayat sehingga harus diketik ulang manual",4,2025-07-31 04:05:02,positif
Membantu sekali saat di luar kota,5,2025-07-31 03:35:00,positif
konsultasi paling tepat ketika tidak bisa pergi keluar rumah,5,2025-07-31 03:17:02,positif
"dokter nya responsif dan komunikatif, goodd.. terimakasih",5,2025-07-31 01:49:03,positif
"gercep bangettt, memudahkan konsul",5,2025-07-31 01:41:58,positif
Sangat membantu,5,2025-07-31 01:41:07,positif
"Sangat membantu disaat urgent kl blm bisa langsung ke dokter onsite, terimakasih",5,2025-07-30 23:21:39,positif
ok,5,2025-07-30 15:22:20,positif
sgt membantu,5,2025-07-30 14:45:32,positif
bagus,4,2025-07-30 13:47:07,positif
menyenangkan. puasss,5,2025-07-30 13:17:56,positif
bagusss sekalii untuk konsultasi di haloskin dan ramahh😻😻🙏🏻,5,2025-07-30 12:52:04,positif
"dokter baik ramah,,,,, pokoknya enak dokternya",5,2025-07-30 12:41:55,positif
sangat membantu,5,2025-07-30 12:16:33,positif
"saya sarankan, pada page login. Lenih fleksibel menggunakan Google Api saat login atau daftar akun",4,2025-07-30 09:23:47,positif
ramah dan baik...enak buat konsul,5,2025-07-30 05:41:05,positif
sangat bagus,5,2025-07-30 03:56:32,positif
sangat membantu bagi kami yang tinggal di kota kecil dengan sedikit dokter2 spesialis. dengan adanya haloDoc kami terbantu dengan opsi2 dokter spesialis di seluruh Indonesia.,5,2025-07-30 02:59:58,positif
sangat baik,5,2025-07-30 02:57:26,positif
mantab,5,2025-07-29 23:38:43,positif
bismillah semoga jdi jalan yang terbaik,5,2025-07-29 14:45:00,positif
sangat membantu,5,2025-07-29 10:16:53,positif
praktis,5,2025-07-29 06:33:58,positif
mantapp,5,2025-07-29 06:22:44,positif
"now we have entered the era of AI AGI and AI ASI. I hope Halodoc continues to improve and increase its capabilities to become a Super AI, a super AI that can do anything that exceeds humans, an AI that can improve and repair itself, an AI that can analyze and structure documents accurately and in detail to make training on itself or the output that will be produced, an AI that can be fully integrated into the entire system, an AI that can be fully integrated into humanoid robots.",5,2025-07-29 04:32:57,positif
"dokter cepat saat membalas chat, pengiriman obat pun cepat sampai, pakai instan bener bener cepet ngga ada keterlambatan pengiriman",5,2025-07-29 03:55:31,positif
sangat membantu,5,2025-07-29 03:38:41,positif
oke,5,2025-07-29 02:58:55,positif
seruuuu,5,2025-07-29 02:02:38,positif
"sangat membantu saat tidak bisa pergi ke dokter dan memerlukan konsultasi , membeli obat dari rumah",5,2025-07-29 01:50:43,positif
aps mudah digunakan,5,2025-07-29 00:19:49,positif
Sangat membantu disaat sedang kondisi berdinas dan kita sakit,5,2025-07-28 22:23:10,positif
"pesanan tidak sesuai alamat alias salah kirim, pesanan juga tidak sesuai dengan yg diresepkan dokter, harga obat yg diberikan jauh beda dengan yang diresepkan dokter, cukup sekian menggunakan halodoc",1,2025-07-28 22:20:03,negatif
"ngga ada fitur pengembalian dana, saya udah jadwalkan consul dengan salah satu dokter tapi karena waktu itu hanya ada jam malam akhirnya saya bayar untuk jam malam tersebut tapi saya ketiduran dan sesi konsulnya berakhir, uang saya sudah masuk tapi saya belum konsul harusnya ada fitur pengembalian jika pasien tidak mendapatkan konsultasi",1,2025-07-28 21:35:25,negatif
"Saya suka belanja obat disini ngebantu aku bgt belanja obat diapk Halodoc ini karena langsung sat set sat set, kurir juga ga cukup waktu lama langsung antar, kurir juga lengkap identitas nya, walaupun agak jauh apotek yg dicari apk Halodoc tapi tetap diantar kerumah. Yang buat aku lebih nyaman pake apk Halodoc ini, ada bukti seperti foto obat yg akan diantar juga & kwitansi pembelian kita . Terimakasih Halodoc.🙏🏻☺️",5,2025-07-28 16:51:47,positif
good,5,2025-07-28 16:06:45,positif
pesanan obat yang ingin dibatalkan tidak itu kenapa ya ? seharusnya bisa dong dibatalkan.,2,2025-07-28 15:49:08,negatif
mudah2an cocok konsultasi disini,5,2025-07-28 14:59:01,positif
"respon sangat cepat, dan di mengerti",5,2025-07-28 14:54:59,positif
responya cepat,5,2025-07-28 14:45:29,positif
it's awesome!,5,2025-07-28 14:35:49,positif
membantu sekali untuk kaum introvert spt saya.. hehe,5,2025-07-28 12:31:46,positif
gk dapat notif waktu konsul kebuang waktu 15 menit,2,2025-07-28 08:09:05,negatif
"udah bayar mahal buat konsultasi, tapi malah dokternya show up di 8 menit terakhir. mana cukup buat konsultasi. mana ga bisa refund, buang buang duit. mending ketemu dokter langsung aja deh",1,2025-07-28 08:06:57,negatif
sangat membantu dalam hal medis apapun dan dalam pertolongan pertama,5,2025-07-28 05:55:11,positif
oke,5,2025-07-28 05:06:54,positif
alhamdulilah dengan izin Allah saya cepat sembuh hanya 1 hari melalui perantara salah satu dokter di halodoc,5,2025-07-28 05:00:40,positif
"berobat ke dokter jadi lebih cepat, ngga pake nunggu",5,2025-07-28 02:58:27,positif
ok,5,2025-07-27 23:26:31,positif
TIDAK BERGUNA. TIDAK BISA BELI OBAT DENGAN ALASAN APOTIK TUTUP PADAHAL ADA APOTEK 24JAM SEKITAR SINI. BUAT APA KONSULTASI KE DOKTER DAN DIBERI RESEP DOKTER TAPI OBATNYA BARU DATANG BESOK! BUTUH SEKARANG DISURUH NUNGGU SAMPE BESOK!,1,2025-07-27 17:27:57,negatif
the best,5,2025-07-27 15:53:27,positif
sangat membantu praktis bisa Konsul dengan dokter ahli langsung,5,2025-07-27 13:27:55,positif
membantu,5,2025-07-27 10:39:36,positif
"mantap, membantu sekali saat keadaan jauh dengan rumah sakit, puskes ataupun klinik",5,2025-07-27 09:49:36,positif
mantap,5,2025-07-27 08:18:50,positif
pelayanan responsif dengan resep obat yang sesuai keluhan terimakasih banyak 🙏,5,2025-07-27 06:44:32,positif
sangat membantu untuk konsultasi dengan dokter untuk keluhan2 ringan dan mendesak,5,2025-07-27 04:44:26,positif
"transaksi pesan obaf sy dibatalkan, tidak ada tombol utk pesan ulang. gmn ini? sy ga dpt obat",3,2025-07-27 04:35:58,netral
sangat baik dan membantu pasien,5,2025-07-27 03:03:01,positif
mantap,5,2025-07-27 00:35:12,positif
sangat bagus sekali lebih mudah cepat tanpa antri pokoknya puas banget sama halodoc,5,2025-07-26 18:06:24,positif
Sangat membantu,5,2025-07-26 15:59:39,positif
"Proses menyambungkan asuransinya error engga jelas, selalu di suruh kontak heidy dan heidynya juga engga jelas, muter"" prosesnya",1,2025-07-26 14:38:12,negatif
sangat membantu,5,2025-07-26 14:00:12,positif
"Sangat membantu Dikala waktu terbatas, konsul di halodoc adalah solusi terbaik 😍😍",5,2025-07-26 12:31:10,positif
"Hati-hati dengan aplikasi ini, kasus terbaru saya chat dengan dokter semua dicover oleh asuransi tau-tau ada notif chat dokter tidak dicover dan muncul tagihan yang harus dibayar.. Ini sudah masuk ranah penipuan kepada pelanggan..!!!",1,2025-07-26 09:43:26,negatif
bagus,5,2025-07-26 09:30:38,positif
"saya uda bayar untuk konsultasi tpi gada dokter yg menghubungi, dan pas saya cek riwayatnya saya suda melakukan percakapan dengan dokternya pdhl ga sama sekali, dan harus bayar ulang, merugikan. ini orang lagi sakit malah dirugiin",1,2025-07-26 09:25:55,negatif
saran saya kalo cuman chat dokter aja di murahin tante sama sepupu saya dokter umum dan dokter gigi yang saya butuhin dokter kulit psikologi dokter penyakit dalam,4,2025-07-26 08:20:16,positif
trimakasih aplikasi yang berguna memudahkan,5,2025-07-26 07:57:24,positif
cukup membantu,5,2025-07-26 07:53:14,positif
"g usah tanya tanya, okelah pokoknya,the best",5,2025-07-26 06:55:19,positif
pelayanan cepat,5,2025-07-26 06:55:09,positif
bagus,4,2025-07-26 06:08:53,positif
responnya baik dan cepat,5,2025-07-26 04:43:28,positif
"cepat tanggap, top. Drg. Nurul Nurfitrijani Sukarja Cepat tanggap & fastrespon",5,2025-07-26 03:43:53,positif
"baru pertama pakai sudah tertipu.. beli obat tapi di kirim tidak lengkap, Layanan pelanggan lambat",4,2025-07-26 00:05:21,positif
